,Jump,Rep,ID,X,Y,Harvest,Rust,Time
0,5,7,0,7,8,0,0.0,0
1,5,7,1,8,9,0,0.0,0
2,5,7,2,8,0,0,0.0,0
3,5,7,3,6,9,0,0.0,0
4,5,7,4,4,1,0,0.0,0
5,5,7,5,8,8,0,0.0,0
6,5,7,6,2,2,0,0.0,0
7,5,7,7,0,3,0,0.0,0
8,5,7,8,7,1,0,0.5,0
9,5,7,9,4,7,0,1.0,0
0,5,7,0,7,8,0,0.0,0.5
1,5,7,1,8,9,0,0.0,0.5
2,5,7,2,8,0,0,0.0,0.5
3,5,7,3,6,9,0,0.0,0.5
4,5,7,4,4,1,0,0.0,0.5
5,5,7,5,8,8,0,0.0,0.5
6,5,7,6,2,2,0,0.0,0.5
7,5,7,7,0,3,0,0.0,0.5
8,5,7,8,7,1,0,1.0,0.5
9,5,7,9,4,7,0,1.0,0.5
0,5,7,0,7,8,0,0.5,1.0
1,5,7,1,8,9,0,0.5,1.0
2,5,7,2,8,0,0,0.0,1.0
3,5,7,3,6,9,0,0.5,1.0
4,5,7,4,4,1,0,0.0,1.0
5,5,7,5,8,8,0,0.5,1.0
6,5,7,6,2,2,0,0.0,1.0
7,5,7,7,0,3,0,0.0,1.0
8,5,7,8,7,1,0,1.0,1.0
9,5,7,9,4,7,0,1.0,1.0
0,5,7,0,7,8,0,1.0,1.5
1,5,7,1,8,9,0,1.0,1.5
2,5,7,2,8,0,0,0.0,1.5
3,5,7,3,6,9,0,1.0,1.5
4,5,7,4,4,1,0,0.0,1.5
5,5,7,5,8,8,0,1.0,1.5
6,5,7,6,2,2,0,0.0,1.5
7,5,7,7,0,3,0,0.0,1.5
8,5,7,8,7,1,0,1.0,1.5
9,5,7,9,4,7,0,1.0,1.5
0,5,7,0,7,8,0,1.0,2.0
1,5,7,1,8,9,0,1.0,2.0
2,5,7,2,8,0,0,0.5,2.0
3,5,7,3,6,9,0,1.0,2.0
4,5,7,4,4,1,0,0.5,2.0
5,5,7,5,8,8,0,1.0,2.0
6,5,7,6,2,2,0,0.0,2.0
7,5,7,7,0,3,0,0.0,2.0
8,5,7,8,7,1,0,1.0,2.0
9,5,7,9,4,7,0,1.0,2.0
